experiment,subset,id_dataset,ood_dataset,scope,method,auc,ci_low,ci_high,aupr,aupr_ci_low,aupr_ci_high,fpr95,fpr95_ci_low,fpr95_ci_high,tpr_at_fpr05,tpr_at_fpr05_ci_low,tpr_at_fpr05_ci_high,ece,brier,exp_dir
jsrt_to_montgomery,full,jsrt,montgomery,jsrt vs montgomery,mahalanobis_resnet50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2449560506190336,0.1762787642212001,jsrt_to_montgomery_full
jsrt_to_montgomery,full,jsrt,montgomery,jsrt vs montgomery,unet_entropy,0.3824150677697588,0.3295443877251657,0.4360529249545267,0.285552269087697,0.2664328204223918,0.3089968458759781,0.951417004048583,0.9190283400809716,0.979757085020243,0.0,0.0,0.0038043478260867,0.1982127436710274,0.29319958257363,jsrt_to_montgomery_full
jsrt_to_montgomery,full,jsrt,montgomery,jsrt vs montgomery,unet_msp,0.3849967728686264,0.3312980402511295,0.4365171918089538,0.2848580623724638,0.2642804849954724,0.3106114279215436,0.9433198380566802,0.8947368421052632,0.97165991902834,0.0,0.0,0.0,0.1806325822086582,0.2907267051335243,jsrt_to_montgomery_full
jsrt_to_montgomery,full,jsrt,montgomery,jsrt vs montgomery,unet_maxlogit,0.2260752214985624,0.1801450742240216,0.2782337323241213,0.2386659809775353,0.2283451133045032,0.2515209220225201,1.0,1.0,1.0,0.0,0.0,0.0144927536231884,0.3495056071565089,0.3573570584463055,jsrt_to_montgomery_full
jsrt_to_shenzhen,full,jsrt,shenzhen,jsrt vs shenzhen,mahalanobis_resnet50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5614530906759284,0.4591319571232712,jsrt_to_shenzhen_full
jsrt_to_shenzhen,full,jsrt,shenzhen,jsrt vs shenzhen,unet_entropy,0.5783250597273286,0.5374778257821776,0.6229903720976809,0.7595242769011462,0.7314672377212348,0.7900384147276617,0.8785425101214575,0.8299595141700404,0.9190283400809716,0.1130742049469964,0.0432420494699646,0.1917402826855123,0.2787135967749302,0.2909308873211846,jsrt_to_shenzhen_full
jsrt_to_shenzhen,full,jsrt,shenzhen,jsrt vs shenzhen,unet_msp,0.5579963090656787,0.5210358220912433,0.6054729188423628,0.7440885698563554,0.7124286701146819,0.7737435782574603,0.8866396761133604,0.8380566801619433,0.9332995951417004,0.0830388692579505,0.0255742049469964,0.1554770318021201,0.2868196986491876,0.2995870083224366,jsrt_to_shenzhen_full
jsrt_to_shenzhen,full,jsrt,shenzhen,jsrt vs shenzhen,unet_maxlogit,0.5807141528733495,0.5404970958927626,0.616816283028855,0.762318963324014,0.7318734750296739,0.7931733932773325,0.9109311740890688,0.854251012145749,0.951417004048583,0.1007067137809187,0.0512367491166077,0.2049469964664311,0.2746529592722717,0.2891895318529445,jsrt_to_shenzhen_full
montgomery_to_jsrt,full,montgomery,jsrt,montgomery vs jsrt,mahalanobis_resnet50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.426248885204464,0.2946826768292925,montgomery_to_jsrt_full
montgomery_to_jsrt,full,montgomery,jsrt,montgomery vs jsrt,unet_entropy,0.6175849322302411,0.5565092706683096,0.6769978876958282,0.7593722887511156,0.7171814840948986,0.7994901519897422,0.9492753623188406,0.8695652173913043,1.0,0.1740890688259109,0.0888663967611336,0.2267206477732793,0.2049827561888175,0.2667465008045637,montgomery_to_jsrt_full
